Iteration$task_len$dev_alter$UP_score$BF_sorce$SA_score$HC_score$GA_score$BF_time$SA_time$HC_time$GA_time$UP_cand$BF_cand$SA_cand$HC_cand$GA_cand
22$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.59594347095117$0.0006839530542492867$0.9861001998651773$['d2', 'd18']$['d2', 'd18']$['d2', 'd18']$['d2', 'd10']$['d2', 'd18']
23$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.971215167082846$0.0006835721433162689$0.9982528891414404$['d2', 'd18']$['d2', 'd18']$['d2', 'd15']$['d2', 'd6']$['d2', 'd6']
24$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.6407084739767015$0.0006490929517894983$0.9783075042068958$['d2', 'd18']$['d2', 'd18']$['d2', 'd6']$['d2', 'd6']$['d2', 'd18']
25$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.373334164032713$0.00036480207927525043$0.9979877469595522$['d2', 'd18']$['d2', 'd18']$['d2', 'd18']$['d2', 'd9']$['d2', 'd10']
26$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.524149623000994$0.0006405259482562542$0.9821157979313284$['d2', 'd18']$['d2', 'd18']$['d2', 'd6']$['d2', 'd10']$['d2', 'd3']
27$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.54474449204281$0.0006443581078201532$0.9939221199601889$['d2', 'd18']$['d2', 'd18']$['d2', 'd6']$['d2', 'd9']$['d2', 'd3']
28$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.560783398104832$0.0006441788282245398$0.9792974190786481$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd9']$['d2', 'd18']
29$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.286689562955871$0.0006527351215481758$0.9940527470316738$['d2', 'd18']$['d2', 'd18']$['d2', 'd10']$['d2', 'd3']$['d2', 'd18']
18$3$7$0.24285714285714285$0.24285714285714285$0.24285714285714288$0.24285714285714285$0.24285714285714285$0.011705145938321948$9.735754380002618$0.0022933611180633307$0.3957336749881506$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']
19$3$7$0.24285714285714285$0.24285714285714285$0.24285714285714288$0.014750538218431617$0.24285714285714285$0.011705145938321948$9.66575991990976$0.0023136630188673735$0.4088405610527843$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']$['d33', 'd49', 'd33']$['d10', 'd15', 'd1']$['d33', 'd49', 'd33']
